target_short,target,split,stratum,count
k3,fermat_quartic_k3,train,coord_degenerate,55
k3,fermat_quartic_k3,train,equimodular,51
k3,fermat_quartic_k3,train,fixed_type,43
k3,fermat_quartic_k3,train,generic,48
k3,fermat_quartic_k3,val,coord_degenerate,5
k3,fermat_quartic_k3,val,equimodular,7
k3,fermat_quartic_k3,val,fixed_type,11
k3,fermat_quartic_k3,val,generic,13
k3,fermat_quartic_k3,test,coord_degenerate,12
k3,fermat_quartic_k3,test,equimodular,14
k3,fermat_quartic_k3,test,fixed_type,18
k3,fermat_quartic_k3,test,generic,11
quintic,fermat_quintic_threefold,train,coord_degenerate,51
quintic,fermat_quintic_threefold,train,equimodular,49
quintic,fermat_quintic_threefold,train,fixed_type,49
quintic,fermat_quintic_threefold,train,generic,48
quintic,fermat_quintic_threefold,val,coord_degenerate,12
quintic,fermat_quintic_threefold,val,equimodular,11
quintic,fermat_quintic_threefold,val,fixed_type,12
quintic,fermat_quintic_threefold,val,generic,16
quintic,fermat_quintic_threefold,test,coord_degenerate,9
quintic,fermat_quintic_threefold,test,equimodular,12
quintic,fermat_quintic_threefold,test,fixed_type,11
quintic,fermat_quintic_threefold,test,generic,8
